titulo,start_hour,end_hour,location,reference_date
Solenidade de Posse,15h00,18h00,Palácio do Planalto,2019-01-01
"Cerimônia de transmissão do cargo de Ministro-Chefe da Casa Civil da Presidência da República, do Senhor Eliseu Padilha ao Senhor Onyx Lorenzoni; do cargo de Ministro da Secretaria-Geral da Presidência, do Senhor Ronaldo Fonseca ao Senhor Gustavo Bebianno; do cargo de Ministro da Secretaria de Governo, do Senhor Carlos Marun ao Senhor General Carlos Alberto; do cargo de Ministro da Segurança Institucional, do Senhor Sergio Etchegoyen ao Senhor General Augusto Heleno",09h00,10h00,Palácio do Planalto,2019-01-02
"Mike Pompeo, Ministro das Relações Exteriores dos EUA",10h00,10h45,Palácio do Planalto,2019-01-02
"Marcelo Rebelo de Sousa, Presidente de Portugal",10h45,11h15,Palácio do Planalto,2019-01-02
"Viktor Orban, Primeiro Ministro da Hungria",11h15,12h00,Palácio do Planalto,2019-01-02
"Ji Bingxuan, Vice-Presidente do Parlamento Chinês",12h00,12h15,Palácio do Planalto,2019-01-02
"Cerimônia de transmissão do cargo de Ministro da Defesa, do Senhor Joaquim Silva e Luna ao Senhor General Fernando Azevedo",16h00,17h00,Brasília/DF,2019-01-02
"Mauro Biancamano, Secretário-Executivo da Secretaria de Governo da Presidência da República",08h00,08h30,Palácio do Planalto,2019-01-03
"Francisco Fontenelle, Ministro-Conselheiro",08h30,09h00,Palácio do Planalto,2019-01-03
Reunião do Conselho de Governo,09h00,10h30,Palácio do Planalto,2019-01-03
Senador Eleito Flávio Bolsonaro (PSL/RJ),14h00,14h30,Palácio do Planalto,2019-01-03
"Embaixador Ernesto Araújo, Ministro de Estado das Relações Exteriores; General Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; Embaixador Roberto Azevêdo, Diretor-Geral da OMC - Organização Mundial do Comércio; e Carlos Bolsonaro, Vereador do Município do Rio de Janeiro/RJ",14h30,15h30,Palácio do Planalto,2019-01-03
Visita à Secretaria de Segurança e Coordenação Presidencial do Gabinete de Segurança Institucional da Presidência da República,15h00,16h00,Palácio do Planalto,2019-01-03
Senador Eleito Flávio Bolsonaro (PSL/RJ),17h20,17h40,Palácio do Planalto,2019-01-03
"Carlos Bolsonaro, Vereador do Município do Rio de Janeiro/RJ",17h40,18h00,Palácio do Planalto,2019-01-03
"Marcelo Álvaro Antônio, Ministro de Estado do Turismo",18h00,18h30,Palácio do Planalto,2019-01-03
"Sergio Moro, Ministro de Estado da Justiça e Segurança Pública; Fernando Azevedo, Ministro de Estado da Defesa; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",09h30,10h15,Brasília/DF,2019-01-04
Solenidade de Passagem de Comando da Aeronáutica do Excelentíssimo Senhor Tenente-Brigadeiro do Ar Nivaldo Luiz Rossato ao Excelentíssimo Senhor Tenente-Brigadeiro do Ar Antonio Carlos Moretti Bermudez,10h30,12h30,Brasília/DF,2019-01-04
"Onyx Lorenzoni, Ministro de Estado Chefe da Casa Civil; Marcos Cintra Cavalcanti de Albuquerque, Secretário Especial 	da Receita Federal do Brasil do Ministério da Economia; e Jorge 	Antonio de Oliveira Francisco, Subchefe para Assuntos 	Jurídicos da Casa Civil da Presidência da República",14h15,15h00,Palácio do Planalto,2019-01-04
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Deputado Delegado Éder Mauro (PSD/PA)",15h00,15h15,Palácio do Planalto,2019-01-04
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Gustavo Bebianno, Ministro-Chefe da Secretaria-Geral da Presidência da República, e General Santa Rosa, Secretário Especial de Assuntos Estratégicos da Secretaria-Geral da Presidência da República",15h15,15h30,Palácio do Planalto,2019-01-04
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Wagner Rosário, Ministro de Estado da Controladoria-Geral da União",16h15,17h15,Palácio do Planalto,2019-01-04
Sem compromisso oficial,00h00,,,2019-01-05
Sem compromisso oficial,00h00,,,2019-01-06
"Fernando Azevedo, Ministro de Estado da Defesa; Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",08h45,09h45,Palácio do Planalto,2019-01-07
"Hamilton Mourão, Vice-Presidente da República; Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Paulo Guedes, Ministro de Estado da Economia; Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Roberto Campos Neto, Presidente do Banco Central do Brasil; Joaquim Levy, Presidente do Banco Nacional de Desenvolvimento Econômico e Social - BNDES; Rubem Novaes, Presidente do Banco do Brasil; e Pedro Guimarães, Presidente da Caixa Econômica Federal",09h45,10h30,Palácio do Planalto,2019-01-07
"Cerimônia de Posse do Presidente do Banco do Brasil, o Senhor Rubem Novaes, Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES), o Senhor Joaquim Levy e o Presidente da Caixa Econômica Federal, o Senhor Pedro Guimarães",11h00,13h00,Palácio do Planalto,2019-01-07
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República",14h00,14h30,Palácio do Planalto,2019-01-07
"Deputado Fábio Ramalho (MDB/MG), 1° vice presidente da Câmara dos Deputados",15h00,16h00,Palácio do Planalto,2019-01-07
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência 	da República, e Augusto Nardes, Ministro do Tribunal de 	Contas da União",16h00,17h00,Palácio do Planalto,2019-01-07
Deputado Alberto Fraga (DEM/DF),17h15,17h40,Palácio do Planalto,2019-01-07
Deputado Eleito Major Vitor Hugo (PSL/GO),17h40,18h10,Palácio do Planalto,2019-01-07
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",08h00,08h20,Palácio do Planalto,2019-01-08
"Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovações e Comunicações",08h20,08h40,Palácio do Planalto,2019-01-08
"Fernando Azevedo, Ministro de Estado da Defesa",08h40,08h55,Palácio do Planalto,2019-01-08
"Ricardo Salles, Ministro de Estado do Meio Ambiente",08h55,09h05,Palácio do Planalto,2019-01-08
Reunião do Conselho de Governo,09h05,12h00,Palácio do Planalto,2019-01-08
"Almoço em homenagem ao Comandante da Marinha, Almirante de Esquadra Eduardo Bacellar Leal Ferreira e Cerimônia de Imposição da Comenda da Ordem do Mérito Naval ao Presidente da República, no Grau de Grã-Cruz",12h40,13h40,Brasília/DF,2019-01-08
"Ernesto Araújo, Ministro de Estado das Relações Exteriores; e Otávio Brandelli, Secretário-Geral das Relações Exteriores",15h00,15h30,Palácio do Planalto,2019-01-08
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência 	da República",16h20,16h40,Palácio do Planalto,2019-01-08
Deputado Eleito Julian Lemos (PSL/PB),16h40,17h10,Palácio do Planalto,2019-01-08
Senadora Rose de Freitas (PODE/ES),17h10,17h20,Palácio do Planalto,2019-01-08
Solenidade de Transmissão do Cargo do Comando da Marinha ao Excelentíssimo Senhor Almirante de Esquadra Ilques Barbosa Junior,10h30,12h30,Brasília/DF,2019-01-09
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da 	República; Paulo Guedes, Ministro de Estado da Economia; e 	Rogério Marinho, Secretário Especial de Previdência e Trabalho do Ministério da Economia",14h30,15h30,Palácio do Planalto,2019-01-09
Deputada Eleita Joice Hasselmann (PSL/SP),15h30,16h00,Palácio do Planalto,2019-01-09
Deputado Eleito Major Vitor Hugo (PSL/GO),16h00,16h30,Palácio do Planalto,2019-01-09
"Bento Costa Lima, Ministro de Estado de Minas e Energia",16h30,17h00,Palácio do Planalto,2019-01-09
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência 	da República",17h10,18h10,Palácio do Planalto,2019-01-09
"Ernesto Araújo, Ministro de Estado das Relações Exteriores",18h30,19h00,Palácio do Planalto,2019-01-09
"Onyx, Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Tereza Cristina, Ministra de Estado da Agricultura, Pecuária e Abastecimento; João Doria, Governador do estado de São Paulo; Marcos Montes, Secretário-Executivo do Ministério da Agricultura, Pecuária e Abastecimento; Deputada Eleita Joice Hasselmann (PSL/SP); Henrique Meirelles, Secretário da Fazenda e Planejamento do estado de São Paulo; Alexandre Baldy, Secretário de Transportes Metropolitanos do estado de São Paulo; João Octaviano Machado Neto, Secretário de Portos e Logística do estado de São Paulo; Gustavo Junqueira, Secretário de Agricultura do estado de São Paulo; e Antonio Imbassahy, Secretário Especial do Escritório de Representação do Governo do estado de São Paulo",11h00,12h30,Palácio do Planalto,2019-01-10
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência 	da República; Antonio Denarium, Governador do estado de Roraima;  	Mauro Biancamano Guimarães, Secretário-Executivo da Secretaria 	de Governo da Presidência da República; e Disney Barreto Mesquita, Chefe da Casa Civil do estado de Roraima",12h30,12h45,Palácio do Planalto,2019-01-10
Deputada Eleita Carla Zambelli (PSL/SP),14h00,14h30,Palácio do Planalto,2019-01-10
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",15h00,15h30,Palácio do Planalto,2019-01-10
"Fernando Azevedo, Ministro de Estado da Defesa; Augusto Heleno, Ministro de Estado Chefe do Gabinete de Segurança Institucional da Presidência da República; Almirante de Esquadra Ilques Barbosa Junior, Comandante da Marinha; Ten Brigadeiro do Ar Antônio Carlos Moretti Bermudez, Comandante da Aeronáutica; José Levi Mello do Amaral Júnior, Procurador-Geral da Fazenda Nacional; Ana Paula Lima Vieira Bittencourt, Procuradora-Geral Adjunta da Fazenda Nacional; Major-Brigadeiro do Ar Heraldo Luiz Rodrigues, Vice-Chefe do Estado Maior da Aeronáutica; Mansueto Almeida, Secretário do Tesouro Nacional; Waldery Rodrigues Júnior, Secretário Especial da Fazenda, e Ten Brig Ar José Magno Resende de Araujo, Comandante de Operações Aeroespaciais",17h30,18h30,Palácio do Planalto,2019-01-10
Jantar de Confraternização do Exército Brasileiro,20h00,22h00,Brasília/DF,2019-01-10
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República",10h00,10h20,Palácio do Planalto,2019-01-11
"Gustavo Canuto, Ministro de Estado do Desenvolvimento Regional",10h30,10h40,Palácio do Planalto,2019-01-11
Solenidade de Passagem de Comando do Exército do Excelentíssimo Senhor General de Exército Eduardo Dias da Costa Villas Bôas ao Excelentíssimo Senhor General de Exército Edson Leal Pujol,11h00,12h30,Brasília/DF,2019-01-11
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; e Senador Davi Alcolumbre (DEM/AP)",14h00,14h30,Palácio do Planalto,2019-01-11
"Marcos Pontes, Ministro de Estado da Ciência, Tecnologia, Inovação e Comunicação",14h30,15h15,Palácio do Planalto,2019-01-11
"Gustavo Bebianno, Ministro-Chefe da Secretaria-Geral da Presidência da República",15h15,15h30,Palácio do Planalto,2019-01-11
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Fernando Azevedo, Ministro de Estado da Defesa; Bento Costa Lima, Ministro de Estado de Minas e Energia; e Gustavo Canuto, Ministro de Estado do Desenvolvimento Regional",15h30,16h00,Palácio do Planalto,2019-01-11
Solenidade de Posse dos Procuradores da República aprovados no 29º Concurso Público para provimentos de cargos de Procurador da República,19h30,20h30,Brasília/DF,2019-01-11
Sem compromisso oficial,00h00,,,2019-01-12
"Sérgio Moro, Ministro de Estado da Justiça e Segurança Pública, Ernesto Araújo, Ministro de Estado das Relações Exteriores; e Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",11h00,11h20,Palácio da Alvorada,2019-01-13
"Santos Cruz, Ministro-Chefe da Secretaria de Governo da Presidência da República",07h30,08h10,Palácio da Alvorada,2019-01-14
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",08h20,08h40,Palácio do Planalto,2019-01-14
"Gustavo Bebianno, Ministro-Chefe da Secretaria-Geral da Presidência da República",09h00,09h45,Palácio do Planalto,2019-01-14
Deputado Eleito Major Vitor Hugo (PSL/GO),10h30,11h00,Palácio do Planalto,2019-01-14
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência da República",11h30,11h45,Palácio do Planalto,2019-01-14
"Sergio Moro, Ministro de Estado da Justiça e Segurança Pública; Fernando Azevedo, Ministro de Estado da Defesa; Ernesto Araújo, Ministro de Estado das Relações Exteriores; Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República; Almirante de Esquadra Ilques Barbosa Junior, Comandante da Marinha do Brasil; General de Exército Edson Leal Pujol, Comandante do Exército Brasileiro; Tenente Brigadeiro do Ar Antonio Carlos Moretti Bermudez, Comandante da Força Aérea Brasileira; Almirante de Esquadra Ademir Sobrinho, Chefe do Estado-Maior Conjunto das Forças Armadas; Tenente Brigadeiro do Ar Raul Botelho, Chefe Indicado do Estado-Maior Conjunto das Forças Armadas, e Almirante de Esquadra Almir Garnier Santos, Secretário-Geral Indicado do Ministério da Defesa",13h00,14h10,Brasília/DF,2019-01-14
"Ricardo Vélez Rodriguez, Ministro de Estado da Educação",14h40,15h00,Palácio do Planalto,2019-01-14
"Sandra Maria Mioranzza Randon, Presidente da Comissão da Festa da Uva",15h00,15h15,Palácio do Planalto,2019-01-14
"Carlos Bolsonaro, Vereador do Município do Rio de Janeiro/RJ",15h15,,Palácio do Planalto,2019-01-14
"Augusto Heleno, Ministro-Chefe do Gabinete de Segurança Institucional da Presidência da República",15h40,16h00,Palácio do Planalto,2019-01-14
"Onyx Lorenzoni, Ministro-Chefe da Casa Civil da Presidência 	da República; Ministro José Múcio Monteiro Filho, Presidente do Tribunal de Contas da União (TCU), e Mauricio de Albuquerque Wanderley, Secretário Geral da Presidência do Tribunal de Contas da União (TCU)",16h00,16h30,Palácio do Planalto,2019-01-14
